Epoch1/200 | Loss: 0.26194050110332406 | AUC: 0.5154401156424238
Epoch2/200 | Loss: 0.25968698774761906 | AUC: 0.5946808791725977
Epoch3/200 | Loss: 0.2523058055555105 | AUC: 0.73210657919934
Epoch4/200 | Loss: 0.22934522366545512 | AUC: 0.7466047616906107
Epoch5/200 | Loss: 0.218374463493052 | AUC: 0.7688494727756184
Epoch6/200 | Loss: 0.21677207915245522 | AUC: 0.7854485056928068
Epoch7/200 | Loss: 0.21574822312627645 | AUC: 0.7948632249953114
Epoch8/200 | Loss: 0.2145688982934182 | AUC: 0.8022553162898729
Epoch9/200 | Loss: 0.21303036516105528 | AUC: 0.8085537280830649
Epoch10/200 | Loss: 0.2109243043460928 | AUC: 0.8135710925287858
Epoch11/200 | Loss: 0.2081008150898326 | AUC: 0.8173903826562535
Epoch12/200 | Loss: 0.2044160712537414 | AUC: 0.8205703048583888
Epoch13/200 | Loss: 0.19996630265417784 | AUC: 0.8236321016650219
Epoch14/200 | Loss: 0.19519727637651682 | AUC: 0.8265596321419993
Epoch15/200 | Loss: 0.19082751698763195 | AUC: 0.832270844659398
Epoch16/200 | Loss: 0.18750292531588086 | AUC: 0.8368157111179725
Epoch17/200 | Loss: 0.18515219900410151 | AUC: 0.8407368365199815
Epoch18/200 | Loss: 0.18354927302784066 | AUC: 0.842994674606137
Epoch19/200 | Loss: 0.18237508434025226 | AUC: 0.8444251298455471
Epoch20/200 | Loss: 0.18150871710073307 | AUC: 0.8455626109531947
Epoch21/200 | Loss: 0.18076683531208718 | AUC: 0.8466882541775093
Epoch22/200 | Loss: 0.18020988826071913 | AUC: 0.8476459076638629
Epoch23/200 | Loss: 0.17974641002873362 | AUC: 0.8483635357532296
Epoch24/200 | Loss: 0.1793703661405695 | AUC: 0.8491050283395619
Epoch25/200 | Loss: 0.17901196921355533 | AUC: 0.8498379777343542
Epoch26/200 | Loss: 0.1787085787014278 | AUC: 0.85040997972749
Epoch27/200 | Loss: 0.17845621667512732 | AUC: 0.8509039696021274
Epoch28/200 | Loss: 0.17812713648029177 | AUC: 0.8515611734394422
Epoch29/200 | Loss: 0.1778119123848492 | AUC: 0.8521643968163464
Epoch30/200 | Loss: 0.17762800778830104 | AUC: 0.8526545509723331
Epoch31/200 | Loss: 0.17730551677960596 | AUC: 0.8532850809273725
Epoch32/200 | Loss: 0.1771156141056591 | AUC: 0.8536849339262412
Epoch33/200 | Loss: 0.17691042513002028 | AUC: 0.8540343420123029
Epoch34/200 | Loss: 0.17656516317818438 | AUC: 0.8547037450166663
Epoch35/200 | Loss: 0.17632958759434378 | AUC: 0.8551039251480536
Epoch36/200 | Loss: 0.17610412777519965 | AUC: 0.8555125442199585
Epoch37/200 | Loss: 0.17583825235199912 | AUC: 0.8558600092826548
Epoch38/200 | Loss: 0.17555922135693752 | AUC: 0.8563468148239058
Epoch39/200 | Loss: 0.17545762126586284 | AUC: 0.8564297590942211
Epoch40/200 | Loss: 0.17514221801103824 | AUC: 0.8569728512003948
Epoch41/200 | Loss: 0.17475602669199153 | AUC: 0.8575523592671412
Epoch42/200 | Loss: 0.17452818047866292 | AUC: 0.8578910636490956
Epoch43/200 | Loss: 0.17423661633683474 | AUC: 0.8583575366461217
Epoch44/200 | Loss: 0.17395609400027348 | AUC: 0.8587288662057837
